adduser/stable,now 3.118 all [installed]
apt-listchanges/stable,now 3.19 all [installed]
apt-utils/stable,now 1.8.2.2 armhf [installed]
apt/stable,now 1.8.2.2 armhf [installed]
avahi-daemon/stable,now 0.7-4+b1 armhf [installed]
base-files/stable,now 10.3+rpi1+deb10u8 armhf [installed]
base-passwd/stable,now 3.5.46 armhf [installed]
bash-completion/stable,now 1:2.8-6 all [installed]
bash/stable,now 5.0-4 armhf [installed]
bsdmainutils/stable,now 11.1.2 armhf [installed]
bsdutils/stable,now 1:2.33.1-0.1 armhf [installed]
build-essential/stable,now 12.6 armhf [installed]
ca-certificates/stable,now 20200601~deb10u2 all [installed]
cifs-utils/stable,now 2:6.8-2 armhf [installed]
console-setup/stable,now 1.193~deb10u1 all [installed]
coreutils/stable,now 8.30-3 armhf [installed]
cpio/stable,now 2.12+dfsg-9 armhf [installed]
crda/stable,now 3.18-1 armhf [installed]
cron/stable,now 3.0pl1-134+deb10u1 armhf [installed]
curl/stable,now 7.64.0-4+deb10u1 armhf [installed]
dash/stable,now 0.5.10.2-5 armhf [installed]
debconf-i18n/stable,now 1.5.71 all [installed]
debconf-utils/stable,now 1.5.71 all [installed]
debconf/stable,now 1.5.71 all [installed]
debianutils/stable,now 4.8.6.1 armhf [installed]
dhcpcd5/testing,now 1:8.1.2-1+rpt1 armhf [installed]
diffutils/stable,now 1:3.7-3 armhf [installed]
dirmngr/stable,now 2.2.12-1+rpi1+deb10u1 armhf [installed]
dmidecode/stable,now 3.2-1 armhf [installed]
dmsetup/stable,now 2:1.02.155-3 armhf [installed]
dosfstools/stable,now 4.1-2 armhf [installed]
dphys-swapfile/testing,now 20100506-5+rpt2 all [installed]
dpkg/stable,now 1.19.7 armhf [installed]
e2fsprogs/stable,now 1.44.5-1+deb10u3 armhf [installed]
ed/stable,now 1.15-1 armhf [installed]
emacs/stable,now 1:26.1+1-3.2+deb10u2 all [installed]
ethtool/stable,now 1:4.19-1 armhf [installed]
fake-hwclock/testing,now 0.11+rpt1 all [installed]
fbset/stable,now 2.1-30 armhf [installed]
fdisk/stable,now 2.33.1-0.1 armhf [installed]
findutils/stable,now 4.6.0+git+20190209-2 armhf [installed]
firmware-atheros/testing,now 1:20190114-1+rpt11 all [installed]
firmware-brcm80211/testing,now 1:20190114-1+rpt11 all [installed]
firmware-libertas/testing,now 1:20190114-1+rpt11 all [installed]
firmware-misc-nonfree/testing,now 1:20190114-1+rpt11 all [installed]
firmware-realtek/testing,now 1:20190114-1+rpt11 all [installed]
